ComID,GeogName,DataGroup1,DataGroup1_Order,DataGroup2,1996 - .,1996 - %,2001 - .,2001 - %,2006 - .,2006 - %,Percent Change 1996 - 2006
can,Canada,Total Reporting,1,One Person Households,2622180,100,2976875,100,3327050,100,26.9
can,Canada,Total Reporting,1,Two or More Person Households,8197875,100,8586100,100,9110420,100,11.1
can,Canada,Total Reporting,1,All Households,10820050,100,11562975,100,12437470,100,14.9
CHB11,Lunenburg County,Total Reporting,1,All Households,,100,,100,20122,100,
CHB11,Lunenburg County,Total Reporting,1,One Person Households,,100,,100,5014,100,
CHB11,Lunenburg County,Total Reporting,1,Two or More Person Households,,100,,100,15168,100,
CHB12,Queens County,Total Reporting,1,One Person Households,,100,,100,1105,100,
CHB12,Queens County,Total Reporting,1,Two or More Person Households,,100,,100,3585,100,
CHB12,Queens County,Total Reporting,1,All Households,,100,,100,4680,100,
CHB21,Clare,Total Reporting,1,One Person Households,,100,,100,875,100,
CHB21,Clare,Total Reporting,1,Two or More Person Households,,100,,100,2777,100,
CHB21,Clare,Total Reporting,1,All Households,,100,,100,3671,100,
CHB22,Digby & Area,Total Reporting,1,Two or More Person Households,,100,,100,3052,100,
CHB22,Digby & Area,Total Reporting,1,All Households,,100,,100,4263,100,
CHB22,Digby & Area,Total Reporting,1,One Person Households,,100,,100,1206,100,
CHB23,Shelburne,Total Reporting,1,Two or More Person Households,,100,,100,4865,100,
CHB23,Shelburne,Total Reporting,1,One Person Households,,100,,100,1610,100,
CHB23,Shelburne,Total Reporting,1,All Households,,100,,100,6485,100,
CHB24,Yarmouth,Total Reporting,1,All Households,,100,,100,10592,100,
CHB24,Yarmouth,Total Reporting,1,One Person Households,,100,,100,2581,100,
CHB24,Yarmouth,Total Reporting,1,Two or More Person Households,,100,,100,8011,100,
CHB31,Annapolis,Total Reporting,1,All Households,,100,,100,7695,100,
CHB31,Annapolis,Total Reporting,1,One Person Households,,100,,100,2160,100,
CHB31,Annapolis,Total Reporting,1,Two or More Person Households,,100,,100,5521,100,
CHB32,Central Kings,Total Reporting,1,One Person Households,,100,,100,2339,100,
CHB32,Central Kings,Total Reporting,1,All Households,,100,,100,9332,100,
CHB32,Central Kings,Total Reporting,1,Two or More Person Households,,100,,100,7024,100,
CHB33,Kingston/Greenwood,Total Reporting,1,All Households,,100,,100,4590,100,
HRM2,HRM2,Total Reporting,1,All Households,0,100,0,100,0,100,0
CHB33,Kingston/Greenwood,Total Reporting,1,Two or More Person Households,,100,,100,3607,100,
CHB33,Kingston/Greenwood,Total Reporting,1,One Person Households,,100,,100,976,100,
CHB34,Eastern Kings,Total Reporting,1,Two or More Person Households,,100,,100,4477,100,
CHB34,Eastern Kings,Total Reporting,1,One Person Households,,100,,100,1557,100,
CHB34,Eastern Kings,Total Reporting,1,All Households,,100,,100,6037,100,
CHB35,Western Kings,Total Reporting,1,Two or More Person Households,,100,,100,4248,100,
CHB35,Western Kings,Total Reporting,1,One Person Households,,100,,100,1238,100,
CHB35,Western Kings,Total Reporting,1,All Households,,100,,100,5481,100,
CHB41,Along The Shore,Total Reporting,1,Two or More Person Households,,100,,100,2521,100,
CHB41,Along The Shore,Total Reporting,1,One Person Households,,100,,100,709,100,
CHB41,Along The Shore,Total Reporting,1,All Households,,100,,100,3225,100,
CHB42,East Hants,Total Reporting,1,All Households,,100,,100,7304,100,
CHB42,East Hants,Total Reporting,1,One Person Households,,100,,100,1285,100,
CHB42,East Hants,Total Reporting,1,Two or More Person Households,,100,,100,6001,100,
CHB43,North Shore Area,Total Reporting,1,Two or More Person Households,,100,,100,1718,100,
CHB43,North Shore Area,Total Reporting,1,One Person Households,,100,,100,673,100,
CHB43,North Shore Area,Total Reporting,1,All Households,,100,,100,2392,100,
CHB44,South Colchester,Total Reporting,1,Two or More Person Households,,100,,100,2901,100,
CHB44,South Colchester,Total Reporting,1,One Person Households,,100,,100,791,100,
CHB44,South Colchester,Total Reporting,1,All Households,,100,,100,3693,100,
CHB45,Truro & Area,Total Reporting,1,Two or More Person Households,,100,,100,8839,100,
CHB45,Truro & Area,Total Reporting,1,One Person Households,,100,,100,3626,100,
CHB45,Truro & Area,Total Reporting,1,All Households,,100,,100,12452,100,
CHB51,Pugwash and Area,Total Reporting,1,Two or More Person Households,,100,,100,1682,100,
CHB51,Pugwash and Area,Total Reporting,1,One Person Households,,100,,100,616,100,
CHB51,Pugwash and Area,Total Reporting,1,All Households,,100,,100,2311,100,
CHB52,"Southhampton, Parrsboro, Advocate and Regions",Total Reporting,1,All Households,,100,,100,1515,100,
CHB52,"Southhampton, Parrsboro, Advocate and Regions",Total Reporting,1,One Person Households,,100,,100,478,100,
CHB52,"Southhampton, Parrsboro, Advocate and Regions",Total Reporting,1,Two or More Person Households,,100,,100,1052,100,
CHB53,"Springhill, Oxford, Amherst and Regions",Total Reporting,1,One Person Households,,100,,100,2566,100,
CHB53,"Springhill, Oxford, Amherst and Regions",Total Reporting,1,Two or More Person Households,,100,,100,6691,100,
CHB53,"Springhill, Oxford, Amherst and Regions",Total Reporting,1,All Households,,100,,100,9285,100,
CHB61,Central and East Pictou,Total Reporting,1,All Households,,100,,100,14168,100,
CHB61,Central and East Pictou,Total Reporting,1,One Person Households,,100,,100,4029,100,
CHB61,Central and East Pictou,Total Reporting,1,Two or More Person Households,,100,,100,10119,100,
CHB62,Pictou West,Total Reporting,1,Two or More Person Households,,100,,100,3369,100,
CHB62,Pictou West,Total Reporting,1,All Households,,100,,100,4399,100,
CHB62,Pictou West,Total Reporting,1,One Person Households,,100,,100,1040,100,
CHB71,Antigonish Town and County,Total Reporting,1,Two or More Person Households,,100,,100,5409,100,
CHB71,Antigonish Town and County,Total Reporting,1,All Households,,100,,100,7219,100,
CHB71,Antigonish Town and County,Total Reporting,1,One Person Households,,100,,100,1821,100,
CHB72,Guysborough County,Total Reporting,1,Two or More Person Households,,100,,100,2865,100,
CHB72,Guysborough County,Total Reporting,1,One Person Households,,100,,100,1019,100,
CHB72,Guysborough County,Total Reporting,1,All Households,,100,,100,3874,100,
CHB73,Strait Richmond,Total Reporting,1,Two or More Person Households,,100,,100,5134,100,
CHB73,Strait Richmond,Total Reporting,1,One Person Households,,100,,100,1643,100,
CHB73,Strait Richmond,Total Reporting,1,All Households,,100,,100,6772,100,
CHB81,Central Inverness,Total Reporting,1,All Households,,100,,100,3060,100,
CHB81,Central Inverness,Total Reporting,1,Two or More Person Households,,100,,100,2281,100,
CHB81,Central Inverness,Total Reporting,1,One Person Households,,100,,100,799,100,
CHB82,North Inverness,Total Reporting,1,All Households,,100,,100,1590,100,
CHB82,North Inverness,Total Reporting,1,Two or More Person Households,,100,,100,1171,100,
CHB82,North Inverness,Total Reporting,1,One Person Households,,100,,100,413,100,
HRM7,HRM7,"Under $10,000",2,One Person Households,0,0,0,0,0,0,0
CHB83,Victoria County,Total Reporting,1,One Person Households,,100,,100,840,100,
CHB83,Victoria County,Total Reporting,1,All Households,,100,,100,3093,100,
CHB83,Victoria County,Total Reporting,1,Two or More Person Households,,100,,100,2259,100,
CHB84,Central Cape Breton County,Total Reporting,1,Two or More Person Households,,100,,100,13345,100,
CHB84,Central Cape Breton County,Total Reporting,1,All Households,,100,,100,18799,100,
CHB84,Central Cape Breton County,Total Reporting,1,One Person Households,,100,,100,5472,100,
CHB85,East Cape Breton County,Total Reporting,1,One Person Households,,100,,100,3702,100,
CHB85,East Cape Breton County,Total Reporting,1,All Households,,100,,100,13979,100,
CHB85,East Cape Breton County,Total Reporting,1,Two or More Person Households,,100,,100,10267,100,
CHB86,Northside The Lakes,Total Reporting,1,All Households,,100,,100,10088,100,
CHB86,Northside The Lakes,Total Reporting,1,One Person Households,,100,,100,2455,100,
CHB86,Northside The Lakes,Total Reporting,1,Two or More Person Households,,100,,100,7662,100,
CHB91,Eastern Shore - Musquodoboit,Total Reporting,1,Two or More Person Households,,100,,100,7824,100,
CHB91,Eastern Shore - Musquodoboit,Total Reporting,1,All Households,,100,,100,9916,100,
CHB91,Eastern Shore - Musquodoboit,Total Reporting,1,One Person Households,,100,,100,2126,100,
CHB92,West Hants,Total Reporting,1,Two or More Person Households,,100,,100,6636,100,
CHB92,West Hants,Total Reporting,1,One Person Households,,100,,100,1880,100,
CHB92,West Hants,Total Reporting,1,All Households,,100,,100,8523,100,
CHB93,Cobequid,Total Reporting,1,All Households,,100,,100,28933,100,
CHB93,Cobequid,Total Reporting,1,One Person Households,,100,,100,4433,100,
CHB93,Cobequid,Total Reporting,1,Two or More Person Households,,100,,100,24510,100,
CHB94,Dartmouth,Total Reporting,1,All Households,,100,,100,28831,100,
CHB94,Dartmouth,Total Reporting,1,One Person Households,,100,,100,9223,100,
CHB94,Dartmouth,Total Reporting,1,Two or More Person Households,,100,,100,19582,100,
CHB95,Southeastern,Total Reporting,1,Two or More Person Households,,100,,100,13124,100,
CHB95,Southeastern,Total Reporting,1,All Households,,100,,100,15282,100,
CHB95,Southeastern,Total Reporting,1,One Person Households,,100,,100,2182,100,
CHB96,Halifax Peninsula,Total Reporting,1,Two or More Person Households,,100,,100,20035,100,
CHB96,Halifax Peninsula,Total Reporting,1,One Person Households,,100,,100,14696,100,
CHB96,Halifax Peninsula,Total Reporting,1,All Households,,100,,100,34734,100,
CHB97,Chebucto West,Total Reporting,1,Two or More Person Households,,100,,100,26312,100,
CHB97,Chebucto West,Total Reporting,1,One Person Households,,100,,100,9692,100,
CHB97,Chebucto West,Total Reporting,1,All Households,,100,,100,35986,100,
CNT1201,Shelburne County,Total Reporting,1,All Households,6510,100,6515,100,6480,100,-0.5
CNT1201,Shelburne County,Total Reporting,1,One Person Households,1340,100,1510,100,1620,100,20.9
CNT1201,Shelburne County,Total Reporting,1,Two or More Person Households,5170,100,5000,100,4855,100,-6.1
CNT1202,Yarmouth County,Total Reporting,1,Two or More Person Households,8135,100,8165,100,8055,100,-1
CNT1202,Yarmouth County,Total Reporting,1,One Person Households,2200,100,2470,100,2595,100,18
CNT1202,Yarmouth County,Total Reporting,1,All Households,10335,100,10630,100,10645,100,3
CNT1203,Digby County,Total Reporting,1,One Person Households,1795,100,2040,100,2140,100,19.2
CNT1203,Digby County,Total Reporting,1,Two or More Person Households,6230,100,6035,100,5930,100,-4.8
CNT1203,Digby County,Total Reporting,1,All Households,8025,100,8080,100,8075,100,0.6
CNT1204,Queens County,Total Reporting,1,Two or More Person Households,3800,100,3710,100,3595,100,-5.4
CNT1204,Queens County,Total Reporting,1,All Households,4835,100,4780,100,4700,100,-2.8
CNT1204,Queens County,Total Reporting,1,One Person Households,1035,100,1065,100,1105,100,6.8
CNT1205,Annapolis County,Total Reporting,1,One Person Households,2070,100,2305,100,2510,100,21.3
CNT1205,Annapolis County,Total Reporting,1,All Households,8770,100,9055,100,9205,100,5
CNT1205,Annapolis County,Total Reporting,1,Two or More Person Households,6695,100,6750,100,6700,100,0.1
CNT1206,Lunenburg County,Total Reporting,1,Two or More Person Households,14575,100,14925,100,15100,100,3.6
CNT1206,Lunenburg County,Total Reporting,1,All Households,18600,100,19465,100,20080,100,8
CNT1206,Lunenburg County,Total Reporting,1,One Person Households,4025,100,4540,100,4975,100,23.6
CNT1207,Kings County,Total Reporting,1,All Households,21975,100,22910,100,24195,100,10.1
CNT1207,Kings County,Total Reporting,1,Two or More Person Households,17575,100,17745,100,18315,100,4.2
CNT1207,Kings County,Total Reporting,1,One Person Households,4400,100,5165,100,5880,100,33.6
CNT1208,Hants County,Total Reporting,1,One Person Households,2425,100,2865,100,3190,100,31.5
CNT1208,Hants County,Total Reporting,1,Two or More Person Households,11640,100,12265,100,12645,100,8.6
CNT1208,Hants County,Total Reporting,1,All Households,14065,100,15130,100,15835,100,12.6
CNT1209,Halifax County,Total Reporting,1,One Person Households,30470,100,37530,100,43030,100,41.2
CNT1209,Halifax County,Total Reporting,1,Two or More Person Households,101050,100,106900,100,112095,100,10.9
CNT1209,Halifax County,Total Reporting,1,All Households,131525,100,144435,100,155125,100,17.9
CNT1210,Colchester County,Total Reporting,1,All Households,18900,100,19710,100,20855,100,10.3
CNT1210,Colchester County,Total Reporting,1,One Person Households,4290,100,4845,100,5555,100,29.5
CNT1210,Colchester County,Total Reporting,1,Two or More Person Households,14610,100,14865,100,15305,100,4.8
CNT1211,Cumberland County,Total Reporting,1,All Households,13310,100,13315,100,13600,100,2.2
CNT1211,Cumberland County,Total Reporting,1,One Person Households,3300,100,3515,100,3780,100,14.5
CNT1211,Cumberland County,Total Reporting,1,Two or More Person Households,10005,100,9800,100,9815,100,-1.9
CNT1212,Pictou County,Total Reporting,1,All Households,18275,100,18535,100,19290,100,5.6
CNT1212,Pictou County,Total Reporting,1,One Person Households,4315,100,4690,100,5295,100,22.7
CNT1212,Pictou County,Total Reporting,1,Two or More Person Households,13960,100,13850,100,13995,100,0.3
CNT1213,Guysborough County,Total Reporting,1,One Person Households,875,100,950,100,1025,100,17.1
CNT1213,Guysborough County,Total Reporting,1,All Households,4065,100,3940,100,3890,100,-4.3
CNT1213,Guysborough County,Total Reporting,1,Two or More Person Households,3190,100,2995,100,2865,100,-10.2
CNT1214,Antigonish County,Total Reporting,1,Two or More Person Households,5095,100,5365,100,5420,100,6.4
CNT1214,Antigonish County,Total Reporting,1,One Person Households,1415,100,1640,100,1805,100,27.6
CNT1214,Antigonish County,Total Reporting,1,All Households,6515,100,7000,100,7225,100,10.9
CNT1215,Inverness County,Total Reporting,1,All Households,7355,100,7425,100,7485,100,1.8
CNT1215,Inverness County,Total Reporting,1,Two or More Person Households,5685,100,5640,100,5575,100,-1.9
CNT1215,Inverness County,Total Reporting,1,One Person Households,1665,100,1785,100,1910,100,14.7
CNT1216,Richmond County,Total Reporting,1,All Households,3895,100,3935,100,3970,100,1.9
CNT1216,Richmond County,Total Reporting,1,One Person Households,750,100,890,100,965,100,28.7
CNT1216,Richmond County,Total Reporting,1,Two or More Person Households,3140,100,3045,100,3005,100,-4.3
CNT1217,Cape Breton County,Total Reporting,1,All Households,42615,100,42150,100,43090,100,1.1
CNT1217,Cape Breton County,Total Reporting,1,One Person Households,9345,100,10505,100,11720,100,25.4
CNT1217,Cape Breton County,Total Reporting,1,Two or More Person Households,33265,100,31640,100,31370,100,-5.7
CNT1218,Victoria County,Total Reporting,1,One Person Households,665,100,695,100,845,100,27.1
CNT1218,Victoria County,Total Reporting,1,All Households,3020,100,3010,100,3095,100,2.5
CNT1218,Victoria County,Total Reporting,1,Two or More Person Households,2355,100,2320,100,2255,100,-4.2
COM1001,Wittenburg,Total Reporting,1,All Households,,100,,100,539,100,
COM1001,Wittenburg,Total Reporting,1,Two or More Person Households,,100,,100,431,100,
COM1001,Wittenburg,Total Reporting,1,One Person Households,,100,,100,111,100,
COM1002,Stewiacke,Total Reporting,1,One Person Households,,100,,100,157,100,
COM1002,Stewiacke,Total Reporting,1,Two or More Person Households,,100,,100,499,100,
COM1002,Stewiacke,Total Reporting,1,All Households,,100,,100,660,100,
COM1003,Old Barns,Total Reporting,1,One Person Households,,100,,100,61,100,
