GEOGRAPHY,YEAR,VIOLATIONS,INCIDENTS,RATES
"Amherst, Nova Scotia, municipal",12/31/2017 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",1106,11941.27
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",965,10336.33
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",916,9717.8
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",849,8935.9
"Amherst, Nova Scotia, municipal",12/31/2013 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",930,9702.66
"Amherst, Nova Scotia, municipal",12/31/2012 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",1124,11531.75
"Amherst, Nova Scotia, municipal",12/31/2011 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",1077,10868.91
"Amherst, Nova Scotia, municipal",12/31/2010 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",1113,11290.32
"Amherst, Nova Scotia, municipal",12/31/2017 12:00:00 AM,Total other Criminal Code violations,204,2202.55
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,Total other Criminal Code violations,199,2131.53
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,Total other Criminal Code violations,182,1930.83
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,Total other Criminal Code violations,190,1999.79
"Amherst, Nova Scotia, municipal",12/31/2013 12:00:00 AM,Total other Criminal Code violations,227,2368.28
"Amherst, Nova Scotia, municipal",12/31/2012 12:00:00 AM,Total other Criminal Code violations,218,2236.59
"Amherst, Nova Scotia, municipal",12/31/2011 12:00:00 AM,Total other Criminal Code violations,289,2916.54
"Amherst, Nova Scotia, municipal",12/31/2010 12:00:00 AM,Total other Criminal Code violations,242,2454.86
"Amherst, Nova Scotia, municipal",12/31/2017 12:00:00 AM,Total property crime violations,660,7125.89
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,Total property crime violations,582,6233.93
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,Total property crime violations,561,5951.62
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,Total property crime violations,461,4852.12
"Amherst, Nova Scotia, municipal",12/31/2013 12:00:00 AM,Total property crime violations,486,5070.42
"Amherst, Nova Scotia, municipal",12/31/2012 12:00:00 AM,Total property crime violations,650,6668.72
"Amherst, Nova Scotia, municipal",12/31/2011 12:00:00 AM,Total property crime violations,553,5580.79
"Amherst, Nova Scotia, municipal",12/31/2010 12:00:00 AM,Total property crime violations,555,5629.95
"Amherst, Nova Scotia, municipal",12/31/2017 12:00:00 AM,Total violent Criminal Code violations,242,2612.83
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,Total violent Criminal Code violations,184,1970.87
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,Total violent Criminal Code violations,173,1835.35
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,Total violent Criminal Code violations,198,2083.99
