GEOGRAPHY,YEAR,VIOLATIONS,INCIDENTS,RATES
"Amherst, Nova Scotia, municipal",12/31/2017 12:00:00 AM,"Assault, level 1",116,1252.43
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,"Assault, level 1",81,867.61
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,"Assault, level 1",86,912.37
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,"Assault, level 1",101,1063.05
"Amherst, Nova Scotia, municipal",12/31/2013 12:00:00 AM,"Assault, level 1",97,1012
"Amherst, Nova Scotia, municipal",12/31/2012 12:00:00 AM,"Assault, level 1",128,1313.22
"Amherst, Nova Scotia, municipal",12/31/2011 12:00:00 AM,"Assault, level 1",109,1100.01
"Amherst, Nova Scotia, municipal",12/31/2010 12:00:00 AM,"Assault, level 1",153,1552.04
"Amherst, Nova Scotia, municipal",12/31/2017 12:00:00 AM,"Assault, level 2, weapon or bodily harm",17,183.55
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,"Assault, level 2, weapon or bodily harm",15,160.67
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,"Assault, level 2, weapon or bodily harm",11,116.7
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,"Assault, level 2, weapon or bodily harm",12,126.3
"Amherst, Nova Scotia, municipal",12/31/2013 12:00:00 AM,"Assault, level 2, weapon or bodily harm",17,177.36
"Amherst, Nova Scotia, municipal",12/31/2012 12:00:00 AM,"Assault, level 2, weapon or bodily harm",18,184.67
"Amherst, Nova Scotia, municipal",12/31/2011 12:00:00 AM,"Assault, level 2, weapon or bodily harm",16,161.47
"Amherst, Nova Scotia, municipal",12/31/2010 12:00:00 AM,"Assault, level 2, weapon or bodily harm",17,172.45
"Amherst, Nova Scotia, municipal",12/31/2017 12:00:00 AM,"Assault, level 3, aggravated",5,53.98
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,"Assault, level 3, aggravated",1,10.71
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,"Assault, level 3, aggravated",1,10.61
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,"Assault, level 3, aggravated",2,21.05
"Amherst, Nova Scotia, municipal",12/31/2013 12:00:00 AM,"Assault, level 3, aggravated",1,10.43
"Amherst, Nova Scotia, municipal",12/31/2012 12:00:00 AM,"Assault, level 3, aggravated",3,30.78
"Amherst, Nova Scotia, municipal",12/31/2011 12:00:00 AM,"Assault, level 3, aggravated",2,20.18
"Amherst, Nova Scotia, municipal",12/31/2010 12:00:00 AM,"Assault, level 3, aggravated",0,0
"Amherst, Nova Scotia, municipal",12/31/2017 12:00:00 AM,Attempted murder,1,10.8
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,Attempted murder,0,0
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,Attempted murder,0,0
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,Attempted murder,0,0
"Amherst, Nova Scotia, municipal",12/31/2013 12:00:00 AM,Attempted murder,0,0
"Amherst, Nova Scotia, municipal",12/31/2012 12:00:00 AM,Attempted murder,1,10.26
"Amherst, Nova Scotia, municipal",12/31/2011 12:00:00 AM,Attempted murder,0,0
"Amherst, Nova Scotia, municipal",12/31/2010 12:00:00 AM,Attempted murder,0,0
"Amherst, Nova Scotia, municipal",12/31/2017 12:00:00 AM,Homicide,0,0
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,Homicide,0,0
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,Homicide,0,0
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,Homicide,0,0
"Amherst, Nova Scotia, municipal",12/31/2013 12:00:00 AM,Homicide,0,0
"Amherst, Nova Scotia, municipal",12/31/2012 12:00:00 AM,Homicide,0,0
"Amherst, Nova Scotia, municipal",12/31/2011 12:00:00 AM,Homicide,0,0
"Amherst, Nova Scotia, municipal",12/31/2010 12:00:00 AM,Homicide,1,10.14
"Amherst, Nova Scotia, municipal",12/31/2017 12:00:00 AM,"Possession, cannabis",12,129.56
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,"Possession, cannabis",20,214.22
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,"Possession, cannabis",28,297.05
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,"Possession, cannabis",30,315.76
"Amherst, Nova Scotia, municipal",12/31/2013 12:00:00 AM,"Possession, cannabis",14,146.06
"Amherst, Nova Scotia, municipal",12/31/2012 12:00:00 AM,"Possession, cannabis",18,184.67
"Amherst, Nova Scotia, municipal",12/31/2011 12:00:00 AM,"Possession, cannabis",22,222.02
"Amherst, Nova Scotia, municipal",12/31/2010 12:00:00 AM,"Possession, cannabis",60,608.64
"Amherst, Nova Scotia, municipal",12/31/2017 12:00:00 AM,"Possession, cocaine",1,10.8
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,"Possession, cocaine",1,10.71
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,"Possession, cocaine",1,10.61
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,"Possession, cocaine",1,10.53
"Amherst, Nova Scotia, municipal",12/31/2013 12:00:00 AM,"Possession, cocaine",1,10.43
"Amherst, Nova Scotia, municipal",12/31/2012 12:00:00 AM,"Possession, cocaine",0,0
"Amherst, Nova Scotia, municipal",12/31/2011 12:00:00 AM,"Possession, cocaine",2,20.18
"Amherst, Nova Scotia, municipal",12/31/2010 12:00:00 AM,"Possession, cocaine",1,10.14
"Amherst, Nova Scotia, municipal",12/31/2017 12:00:00 AM,"Sexual assault, level 1",8,86.37
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,"Sexual assault, level 1",8,85.69
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,"Sexual assault, level 1",9,95.48
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,"Sexual assault, level 1",6,63.15
"Amherst, Nova Scotia, municipal",12/31/2013 12:00:00 AM,"Sexual assault, level 1",10,104.33
"Amherst, Nova Scotia, municipal",12/31/2012 12:00:00 AM,"Sexual assault, level 1",6,61.56
"Amherst, Nova Scotia, municipal",12/31/2011 12:00:00 AM,"Sexual assault, level 1",4,40.37
"Amherst, Nova Scotia, municipal",12/31/2010 12:00:00 AM,"Sexual assault, level 1",8,81.15
"Amherst, Nova Scotia, municipal",12/31/2017 12:00:00 AM,"Sexual assault, level 2, weapon or bodily harm",0,0
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,"Sexual assault, level 2, weapon or bodily harm",0,0
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,"Sexual assault, level 2, weapon or bodily harm",0,0
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,"Sexual assault, level 2, weapon or bodily harm",1,10.53
"Amherst, Nova Scotia, municipal",12/31/2013 12:00:00 AM,"Sexual assault, level 2, weapon or bodily harm",0,0
"Amherst, Nova Scotia, municipal",12/31/2012 12:00:00 AM,"Sexual assault, level 2, weapon or bodily harm",0,0
"Amherst, Nova Scotia, municipal",12/31/2011 12:00:00 AM,"Sexual assault, level 2, weapon or bodily harm",0,0
"Amherst, Nova Scotia, municipal",12/31/2010 12:00:00 AM,"Sexual assault, level 2, weapon or bodily harm",0,0
"Amherst, Nova Scotia, municipal",12/31/2017 12:00:00 AM,"Sexual assault, level 3, aggravated",0,0
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,"Sexual assault, level 3, aggravated",0,0
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,"Sexual assault, level 3, aggravated",0,0
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,"Sexual assault, level 3, aggravated",0,0
"Amherst, Nova Scotia, municipal",12/31/2013 12:00:00 AM,"Sexual assault, level 3, aggravated",0,0
"Amherst, Nova Scotia, municipal",12/31/2012 12:00:00 AM,"Sexual assault, level 3, aggravated",0,0
"Amherst, Nova Scotia, municipal",12/31/2011 12:00:00 AM,"Sexual assault, level 3, aggravated",0,0
"Amherst, Nova Scotia, municipal",12/31/2010 12:00:00 AM,"Sexual assault, level 3, aggravated",0,0
"Amherst, Nova Scotia, municipal",12/31/2017 12:00:00 AM,Total breaking and entering,55,593.82
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,Total breaking and entering,34,364.18
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,Total breaking and entering,42,445.58
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,Total breaking and entering,32,336.81
"Amherst, Nova Scotia, municipal",12/31/2013 12:00:00 AM,Total breaking and entering,64,667.71
"Amherst, Nova Scotia, municipal",12/31/2012 12:00:00 AM,Total breaking and entering,54,554.02
"Amherst, Nova Scotia, municipal",12/31/2011 12:00:00 AM,Total breaking and entering,60,605.51
"Amherst, Nova Scotia, municipal",12/31/2010 12:00:00 AM,Total breaking and entering,58,588.35
"Amherst, Nova Scotia, municipal",12/31/2017 12:00:00 AM,"Total cannabis, trafficking, production or distribution",5,53.98
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,"Total cannabis, trafficking, production or distribution",1,10.71
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,"Total cannabis, trafficking, production or distribution",4,42.44
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,"Total cannabis, trafficking, production or distribution",7,73.68
"Amherst, Nova Scotia, municipal",12/31/2013 12:00:00 AM,"Total cannabis, trafficking, production or distribution",11,114.76
"Amherst, Nova Scotia, municipal",12/31/2012 12:00:00 AM,"Total cannabis, trafficking, production or distribution",13,133.37
"Amherst, Nova Scotia, municipal",12/31/2011 12:00:00 AM,"Total cannabis, trafficking, production or distribution",8,80.73
"Amherst, Nova Scotia, municipal",12/31/2010 12:00:00 AM,"Total cannabis, trafficking, production or distribution",6,60.86
"Amherst, Nova Scotia, municipal",12/31/2017 12:00:00 AM,"Total cocaine, trafficking, production or distribution",4,43.19
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,"Total cocaine, trafficking, production or distribution",0,0
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,"Total cocaine, trafficking, production or distribution",3,31.83
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,"Total cocaine, trafficking, production or distribution",0,0
"Amherst, Nova Scotia, municipal",12/31/2013 12:00:00 AM,"Total cocaine, trafficking, production or distribution",2,20.87
"Amherst, Nova Scotia, municipal",12/31/2012 12:00:00 AM,"Total cocaine, trafficking, production or distribution",0,0
"Amherst, Nova Scotia, municipal",12/31/2011 12:00:00 AM,"Total cocaine, trafficking, production or distribution",5,50.46
"Amherst, Nova Scotia, municipal",12/31/2010 12:00:00 AM,"Total cocaine, trafficking, production or distribution",7,71.01
"Amherst, Nova Scotia, municipal",12/31/2017 12:00:00 AM,Total Drug violations,31,334.7
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,Total Drug violations,27,289.2
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,Total Drug violations,45,477.4
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,Total Drug violations,49,515.74
"Amherst, Nova Scotia, municipal",12/31/2013 12:00:00 AM,Total Drug violations,41,427.75
"Amherst, Nova Scotia, municipal",12/31/2012 12:00:00 AM,Total Drug violations,40,410.38
"Amherst, Nova Scotia, municipal",12/31/2011 12:00:00 AM,Total Drug violations,42,423.86
"Amherst, Nova Scotia, municipal",12/31/2010 12:00:00 AM,Total Drug violations,74,750.66
"Amherst, Nova Scotia, municipal",12/31/2017 12:00:00 AM,Total impaired driving,19,205.14
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,Total impaired driving,30,321.34
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,Total impaired driving,30,318.27
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,Total impaired driving,41,431.53
"Amherst, Nova Scotia, municipal",12/31/2013 12:00:00 AM,Total impaired driving,32,333.85
"Amherst, Nova Scotia, municipal",12/31/2012 12:00:00 AM,Total impaired driving,32,328.31
"Amherst, Nova Scotia, municipal",12/31/2011 12:00:00 AM,Total impaired driving,62,625.69
"Amherst, Nova Scotia, municipal",12/31/2010 12:00:00 AM,Total impaired driving,60,608.64
"Amherst, Nova Scotia, municipal",12/31/2017 12:00:00 AM,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",2,21.59
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",2,21.42
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",4,42.44
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",6,63.15
"Amherst, Nova Scotia, municipal",12/31/2013 12:00:00 AM,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",7,73.03
"Amherst, Nova Scotia, municipal",12/31/2012 12:00:00 AM,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",5,51.3
"Amherst, Nova Scotia, municipal",12/31/2011 12:00:00 AM,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",4,40.37
"Amherst, Nova Scotia, municipal",12/31/2010 12:00:00 AM,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",0,0
"Amherst, Nova Scotia, municipal",12/31/2017 12:00:00 AM,"Total, possession, other Controlled Drugs and Substances Act drugs",7,75.58
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,"Total, possession, other Controlled Drugs and Substances Act drugs",3,32.13
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,"Total, possession, other Controlled Drugs and Substances Act drugs",5,53.04
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,"Total, possession, other Controlled Drugs and Substances Act drugs",5,52.63
"Amherst, Nova Scotia, municipal",12/31/2013 12:00:00 AM,"Total, possession, other Controlled Drugs and Substances Act drugs",6,62.6
"Amherst, Nova Scotia, municipal",12/31/2012 12:00:00 AM,"Total, possession, other Controlled Drugs and Substances Act drugs",4,41.04
"Amherst, Nova Scotia, municipal",12/31/2011 12:00:00 AM,"Total, possession, other Controlled Drugs and Substances Act drugs",1,10.09
"Amherst, Nova Scotia, municipal",12/31/2010 12:00:00 AM,"Total, possession, other Controlled Drugs and Substances Act drugs",0,0
"Amherst, Nova Scotia, municipal",12/31/2017 12:00:00 AM,Total robbery,1,10.8
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,Total robbery,0,0
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,Total robbery,0,0
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,Total robbery,5,52.63
"Amherst, Nova Scotia, municipal",12/31/2013 12:00:00 AM,Total robbery,2,20.87
"Amherst, Nova Scotia, municipal",12/31/2012 12:00:00 AM,Total robbery,2,20.52
"Amherst, Nova Scotia, municipal",12/31/2011 12:00:00 AM,Total robbery,3,30.28
"Amherst, Nova Scotia, municipal",12/31/2010 12:00:00 AM,Total robbery,6,60.86
"Amherst, Nova Scotia, municipal",12/31/2017 12:00:00 AM,Total sexual violations against children,3,32.39
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,Total sexual violations against children,5,53.56
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,Total sexual violations against children,5,53.04
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,Total sexual violations against children,2,21.05
"Amherst, Nova Scotia, municipal",12/31/2013 12:00:00 AM,Total sexual violations against children,11,114.76
"Amherst, Nova Scotia, municipal",12/31/2012 12:00:00 AM,Total sexual violations against children,2,20.52
"Amherst, Nova Scotia, municipal",12/31/2011 12:00:00 AM,Total sexual violations against children,1,10.09
"Amherst, Nova Scotia, municipal",12/31/2010 12:00:00 AM,Total sexual violations against children,2,20.29
"Amherst, Nova Scotia, municipal",12/31/2017 12:00:00 AM,Total theft of motor vehicle,17,183.55
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,Total theft of motor vehicle,12,128.53
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,Total theft of motor vehicle,4,42.44
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,Total theft of motor vehicle,8,84.2
"Amherst, Nova Scotia, municipal",12/31/2013 12:00:00 AM,Total theft of motor vehicle,15,156.49
"Amherst, Nova Scotia, municipal",12/31/2012 12:00:00 AM,Total theft of motor vehicle,8,82.08
"Amherst, Nova Scotia, municipal",12/31/2011 12:00:00 AM,Total theft of motor vehicle,11,111.01
"Amherst, Nova Scotia, municipal",12/31/2010 12:00:00 AM,Total theft of motor vehicle,4,40.58
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,"Assault, level 1",76,367.54
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,"Assault, level 1",104,504.41
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,"Assault, level 1",79,384.62
