BRDCODE,SEGID,the_geom,PNTID,BRDNAME,SCHLCODE,SCHLNAME,MAIL1,MAIL2,MPOSTCODE,CIVIC1,CIVIC2,CPOSTCODE,PHONE,FAX,EMAIL,SCHLYR
53,16400010,POINT (-64.15530477287923 45.80240822478097),16400265,CHIGNECTO-CENTRAL REGIONAL SCHOOL BOARD,1104,CUMBERLAND NORTH ACADEMY,879 HWY 204 RR 3,BROOKDALE NS,B4H 3Y1,879 HIGHWAY 204,BROOKDALE NS,B4H 3Y1,902 661 2464,902 661 2438,WELLSK@CCRSB.CA,2015-2016
53,15500009,POINT (-63.87287708995539 45.940925378866105),15500026,CHIGNECTO-CENTRAL REGIONAL SCHOOL BOARD,231,NORTHPORT CONSOLIDATED ELEMENTARY SCHOOL,7110 HWY 366,NORTHPORT NS,B0L 1E0,7110 HIGHWAY 366,NORTHPORT NS,B0L 1E0,902 661 2490,902 661 2491,TRENHOLMA@CCRSB.CA,2015-2016
53,12000006,POINT (-63.47340087308336 45.81205567567862),12000034,CHIGNECTO-CENTRAL REGIONAL SCHOOL BOARD,227,WALLACE CONSOLIDATED ELEMENTARY SCHOOL,3853 HWY 307,WALLACE NS,B0K 1Y0,3853 HIGHWAY 307,WALLACE NS,B0K 1Y0,902 257 6100,902 257 6102,WELLSSE@CCRSB.CA,2015-2016
52,41400032,POINT (-61.07034175904373 45.60734897576626),41400119,STRAIT REGIONAL SCHOOL BOARD,471,FELIX MARCHANDEDUCATION CENTRE,PO BOX 767,LOUISDALE NS,B0E 1V0,380 HIGHWAY 320,LOUISDALE NS,B0E 1V0,902 345 2560,902 345 2868,TANYA.SAMPSON@SRSB.CA,2015-2016
53,400015242,POINT (-63.82301931706743 44.88791492873996),138000238,CHIGNECTO-CENTRAL REGIONAL SCHOOL BOARD,40,UNIACKE DISTRICT SCHOOL,551 HWY 1,MOUNT UNIACKE NS,B0N 1Z0,551 HIGHWAY 1,MOUNT UNIACKE NS,B0N 1Z0,902 866 5100,902 866 5105,WALKERD@CCRSB.CA,2015-2016
52,122300045,POINT (-61.6216344380826 45.60847343846819),122300042,STRAIT REGIONAL SCHOOL BOARD,975,EAST ANTIGONISH EDUCATION CENTRE/ACADEMY,10128 ROUTE 4,MONASTERY NS,B0H 1W0,10128 HIGHWAY 4,MONASTERY NS,B0H 1W0,902 232 2810,902 232 3829,JIM.KEAY@SRSB.CA,2015-2016
51,62900007,POINT (-60.81665467575064 45.94683758431052),62900097,CAPE BRETON-VICTORIA REGIONAL SCHOOL BOARD,1142,RANKIN SCHOOL OF THE NARROWS,4144 HWY 223,IONA NS,B2C 1A4,4144 HIGHWAY 223,IONA NS,B2C 1A4,902 725 2210,902 725 1255,RANKIN@STAFF.EDNET.NS.CA,2015-2016
52,27700001,POINT (-61.407751374676195 46.06159541611037),27700033,STRAIT REGIONAL SCHOOL BOARD,930,DALBRAE ACADEMY,PO BOX 220,MABOU NS,B0E 1X0,11156 HIGHWAY 19,SOUTHWEST MABOU NS,B0E 1X0,902 945 5325,902 945 5329,KEVIN.WALKER@SRSB.CA,2015-2016
52,118300007,POINT (-62.044229409638994 45.734252152958234),118300071,STRAIT REGIONAL SCHOOL BOARD,143,H. M. MACDONALD ELEMENTARY SCHOOL,2811 HWY 245,MARYVALE NS,B2G 2J1,2811 HIGHWAY 245,MARYVALE NS,B2G 2J1,902 863 2096,902 863 0616,JASON.DAYMAN@SRSB.CA,2015-2016
52,125100009,POINT (-61.88891729789374 45.558671539678976),125100038,STRAIT REGIONAL SCHOOL BOARD,149,ST. ANDREWS CONSOLIDATED SCHOOL,3892 HWY 316,ST ANDREWS NS,B0H 1X0,3892 HIGHWAY 316,ST. ANDREWS NS,B0H 1X0,902 863 2512,902 863 6840,SUZANNE.DELANEY@SRSB.CA,2015-2016
53,83500037,POINT (-62.79648078918779 45.65625837461346),83500219,CHIGNECTO-CENTRAL REGIONAL SCHOOL BOARD,407,WEST PICTOU CONSOLIDATED SCHOOL,1999 HWY 376,PICTOU NS,B0K 1H0,1959 HIGHWAY 376,LYONS BROOK NS,B0K 1H0,902 485 7960,902 485 7966,TURNERCA@CCRSB.CA,2015-2016
53,133100013,POINT (-63.747492015315835 45.29189599076304),133100138,CHIGNECTO-CENTRAL REGIONAL SCHOOL BOARD,36,COBEQUID DISTRICT ELEMENTARY SCHOOL,8993 HWY 354,NOEL NS,B0N 2C0,8993 HIGHWAY 354,NOEL NS,B0N 2C0,902 369 2960,902 369 2961,ISENORR@CCRSB.CA,2015-2016
53,136900009,POINT (-63.71150008466889 45.07025266954143),136900082,CHIGNECTO-CENTRAL REGIONAL SCHOOL BOARD,39,RAWDON DISTRICT ELEMENTARY SCHOOL,3713 HWY 354,UPPER RAWDON NS,B0N 2N0,3713 HIGHWAY 354,UPPER RAWDON NS,B0N 2N0,902 632 6660,902 632 6662,SEARLELM@CCRSB.CA,2015-2016
55,183000022,POINT (-64.87790565312253 45.0185639882654),183000058,ANNAPOLIS VALLEY REGIONAL SCHOOL BOARD,71,WEST KINGS DISTRICT HIGH SCHOOL,1941 HWY 1,AUBURN NS,B0P 1A0,1941 HIGHWAY 1,AUBURN NS,B0P 1A0,902 847 4440,902 847 4444,WKDHS@AVRSB.CA,2015-2016
57,47400061,POINT (-61.026822220482664 45.51276831486604),47400125,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,982,ECOLE BEAU-PORT,CP 1500,ARICHAT N.-E.,B0E 2L0,2359 HIGHWAY 206,ARICHAT NS,B0E 2L0,902 226 5200,902 226 5204,EBP@CSAP.CA,2015-2016
55,184000005,POINT (-64.72036747156797 45.034731601938496),184000026,ANNAPOLIS VALLEY REGIONAL SCHOOL BOARD,360,THREE MILE PLAINS DISTRICT SCHOOL,4555 HWY 1 RR 2,WINDSOR NS,B0N 2T0,4555 HIGHWAY 1,SOUTH BERWICK NS,B0N 2T0,902 792 6720,902 792 6722,TMPDS@AVRSB.CA,2015-2016
53,400011,POINT (-64.78779255392735 45.34114706761769),400088,CHIGNECTO-CENTRAL REGIONAL SCHOOL BOARD,248,ADVOCATE DISTRICT SCHOOL,PO BOX 62,ADVOCATE HARBOUR NS,B0M 1A0,3521 HIGHWAY 209,ADVOCATE HARBOUR NS,B0M 1A0,902 392 3400,902 392 3401,GAMBLIND@CCRSB.CA,2015-2016
59,216900017,POINT (-65.92757979916716 44.00622676271483),216900089,TRI-COUNTY REGIONAL SCHOOL BOARD,497,CARLETON CONSOLIDATED SCHOOL,4014 HWY 340,CARLETON NS,B5A 5P8,4014 HIGHWAY 340,CARLETON NS,B5A 5P8,902 761 4200,902 761 4202,CCES@TCRSB.CA,2015-2016
59,400039784,POINT (-65.99774300605165 44.4157655822947),298700068,TRI-COUNTY REGIONAL SCHOOL BOARD,256,WEYMOUTH CONSOLIDATED SCHOOL,PO BOX 400,WEYMOUTH NS,B0W 3T0,4695 HIGHWAY 1,WEYMOUTH NS,B0W 3T0,902 837 2310,902 837 2320,WCS@TCRSB.CA,2015-2016
59,400022128,POINT (-65.88035527323792 44.53126289153642),298100051,TRI-COUNTY REGIONAL SCHOOL BOARD,255,BARTON CONSOLIDATED SCHOOL,PO BOX 29,BARTON NS,B0W 1H0,8017 HIGHWAY 101,BARTON NS,B0W 1H0,902 245 7570,902 245 7571,BACES@TCRSB.CA,2015-2016
59,216000021,POINT (-66.1452784050534 43.97627146319543),216000168,TRI-COUNTY REGIONAL SCHOOL BOARD,498,PORT MAITLAND CONSOLIDATED SCHOOL,PO BOX 70,PORT MAITLAND NS,B5A 5T3,3072 HIGHWAY 1,PORT MAITLAND NS,B0W 2V0,902 649 4400,902 649 4404,PMCES@TCRSB.CA,2015-2016
53,267000010,POINT (-62.9956876717645 45.22021163084977),267000069,CHIGNECTO-CENTRAL REGIONAL SCHOOL BOARD,18,UPPER STEWIACKE ELEMENTARY SCHOOL,5327 HWY 289,UPPER STEWIACKE NS,B0N 2P0,5327 HIGHWAY 289,UPPER STEWIACKE NS,B0N 2P0,902 671 3000,902 671 3002,ELLISP@CCRSB.CA,2015-2016
53,262900009,POINT (-63.595593045172116 45.41257393462881),262900175,CHIGNECTO-CENTRAL REGIONAL SCHOOL BOARD,26,GREAT VILLAGE ELEMENTARY SCHOOL,8849 HWY 2,GREAT VILLAGE NS,B0M 1L0,8849 HIGHWAY 2,GREAT VILLAGE NS,B0M 1L0,902 668 6500,902 668 6506,SMITHC@CCRSB.CA,2015-2016
59,219100044,POINT (-66.06651237795157 43.824915865383765),219100166,TRI-COUNTY REGIONAL SCHOOL BOARD,500,ARCADIA CONSOLIDATED ELEMENTARY SCHOOL,PO BOX 130,ARCADIA NS,B0W 1B0,10177 HIGHWAY 3,ARCADIA NS,B0W 1B0,902 749 2870,902 749 2877,ACES@TCRSB.CA,2015-2016
59,400046381,POINT (-65.72886293212225 43.49545950488522),160900076,TRI-COUNTY REGIONAL SCHOOL BOARD,733,EVELYN RICHARDSON MEMORIAL ELEMENTARY SCHOOL,PO BOX 160,SHAG HARBOUR NS,B0W 3B0,5961 HIGHWAY 3,SHAG HARBOUR NS,B0W 3B0,902 723 3800,902 723 3801,ERMES@TCRSB.CA,2015-2016
53,270300002,POINT (-63.385120783082556 45.349795870208375),270300020,CHIGNECTO-CENTRAL REGIONAL SCHOOL BOARD,14,COBEQUID CONSOLIDATED ELEMENTARY SCHOOL,2998 HWY 236,OLD BARNS NS,B6L 1K3,2998 HIGHWAY 236,OLD BARNS NS,B6L 1K3,902 896 5560,902 896 5565,MCINNISND@CCRSB.CA,2015-2016
58,400035544,POINT (-64.40308720626498 44.304523315607085),243900012,SOUTH SHORE REGIONAL SCHOOL BOARD,400,PENTZ ELEMENTARY SCHOOL,PO BOX 88,LAHAVE NS,B0R 1C0,2680 HIGHWAY 331,PENTZ NS,B0R 1C0,902 688 3210,902 688 3211,PES@SSRSB.CA,2015-2016
