Year,Board Code,Board Name,School Code,School Name,School Total
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0096,BADDECK ACADEMY               ,350
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0093,BOULARDERIE ELEMENTARY SCHOOL ,120
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0101,BRAS D'OR ELEMENTARY SCHOOL   ,316
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0640,BRETON EDUCATION CENTRE       ,934
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0551,BRIDGEPORT SCHOOL             ,132
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0995,BROOKLAND ELEMENTARY SCHOOL   ,525
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0107,CABOT EDUCATION CENTRE        ,243
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0962,CAPE SMOKEY ELEMENTARY SCHOOL ,126
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0186,COXHEATH ELEMENTARY SCHOOL    ,303
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,1101,CUSACK SCHOOL                 ,412
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0996,DONKIN SCHOOL                 ,190
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0098,DR. T. L. SULLIVAN MIDDLE SCHOOL     ,293
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0099,FLORENCE ELEMENTARY SCHOOL    ,151
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0626,GEORGE D. LEWIS SCHOOL        ,137
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0442,GLACE BAY ADULT EDUCATION CENTRE   ,47
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0416,GLACE BAY ELEMENTARY SCHOOL   ,496
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0008,GLACE BAY HIGH SCHOOL         ,882
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0964,HARBOURSIDE ELEMENTARY SCHOOL ,476
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0668,HOLY ANGELS HIGH SCHOOL             ,305
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0549,JOHN BERNARD CROAK V. C. MEMORIAL SCHOOL  ,182
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0960,JUBILEE ELEMENTARY SCHOOL     ,291
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0545,MACDONALD ELEMENTARY SCHOOL         ,135
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0206,MACLENNAN MIDDLE SCHOOL       ,181
