Total other Criminal Code violations,Total property crime violations,Total violent Criminal Code violations,"Total, all Criminal Code violations (excluding traffic)",Rate Total other Criminal Code violations,Rate Total property crime violations,Rate Total violent Criminal Code violations,"Rate Total, all Criminal Code violations (excluding traffic)",CO_CODE,CO_DESC,YEAR
0.045442674327500654,0.04454638124362895,0.053044871794871794,0.04655009451795841,0.045218417682011014,0.11262840637880746,0.08343569365138861,0.08849621209243475,AP,Annapolis,2010
0.050927135022199005,0.03939857288481142,0.053044871794871794,0.04384958142046989,0.047098912462074635,0.1012807787072311,0.08128680306415681,0.08277039043523123,AP,Annapolis,2011
0.058239749281796815,0.042303771661569824,0.05368589743589743,0.04685390224142587,0.05361364319063237,0.10885993943227693,0.08446227163642914,0.08896143855536685,AP,Annapolis,2012
0.05771741969182554,0.039194699286442404,0.052243589743589745,0.0444234404536862,0.053263562956932874,0.10059820419284661,0.08213381103284673,0.08417228573579474,AP,Annapolis,2013
0.05066597022721337,0.0290519877675841,0.04246794871794872,0.03473534971644612,0.04720220567297481,0.07491178898140825,0.06674866309581955,0.06597181981867495,AP,Annapolis,2014
0.04492034473752938,0.028389398572884812,0.03701923076923077,0.032406157169862275,0.04267740469386684,0.07290101391624142,0.05845869429881425,0.06173546875226621,AP,Annapolis,2015
0.04492034473752938,0.031039755351681957,0.041826923076923074,0.03517418309478801,0.041432861087939934,0.07761069472306283,0.06584486340509105,0.06565563710678314,AP,Annapolis,2016
0.03865238965787412,0.026656472986748215,0.03445512820512821,0.02990818255468539,0.036992369702593716,0.06368167413831566,0.05336042028037803,0.05444296106698197,AP,Annapolis,2017
0.0501436406372421,0.02966360856269113,0.03958333333333333,0.03446529840669727,0.16888439982177733,0.22257124180500817,0.1788290195963894,0.1981182363110083,AT,Antigonish,2010
0.054844606946983544,0.024617737003058103,0.028044871794871796,0.02930056710775047,0.19949939084922655,0.19318747852196086,0.13787894276530255,0.18062403610201552,AT,Antigonish,2011
0.07208148341603551,0.030784913353720692,0.046314102564102566,0.03946124763705104,0.2632463772000058,0.23543597953887746,0.2196958019018196,0.23829637052911912,AT,Antigonish,2012
0.05771741969182554,0.022629969418960245,0.03926282051282051,0.030718336483931945,0.19028340307020924,0.16777220402116122,0.18470561064352595,0.17766595275768923,AT,Antigonish,2013
0.06711935231130843,0.025790010193679918,0.03782051282051282,0.03372265730488793,0.222785030636208,0.19771102789832337,0.16442934325511765,0.19541486721776477,AT,Antigonish,2014
0.040741708017759205,0.024872579001019367,0.03365384615384615,0.028827977315689982,0.12769720907327564,0.190484683466834,0.15153545885818354,0.16500441675063904,AT,Antigonish,2015
0.04805432227735701,0.032059123343527014,0.03958333333333333,0.03578179854172293,0.17430087246471002,0.2570705635365194,0.17921628505333828,0.2167108571949524,AT,Antigonish,2016
0.045442674327500654,0.027879714576962283,0.03493589743589744,0.03169727248177154,0.15265061546003447,0.22909834323580322,0.17614412332782187,0.19666191724963858,AT,Antigonish,2017
0.4121180464873335,0.2371559633027523,0.2530448717948718,0.26363759114231705,0.7262015233794411,0.6004941650574632,0.6281910862958331,0.6386671151331896,CB,Cape Breton,2010
0.4037607730477932,0.22884811416921508,0.25608974358974357,0.25769646232784227,0.5994149695871287,0.5476517297582765,0.6729175422057149,0.5924490485165725,CB,Cape Breton,2011
0.36876469051971794,0.2520897043832824,0.23141025641025642,0.26336753983256816,0.6489895690607241,0.5982678109026902,0.5877732290312794,0.6081360759777801,CB,Cape Breton,2012
0.26142595978062155,0.20902140672782873,0.16987179487179488,0.20800702133405347,0.4450597369764011,0.4941000503666095,0.38137534406318274,0.45317933527039556,CB,Cape Breton,2013
0.24967354400626796,0.21049949031600407,0.1766025641025641,0.20888468809073724,0.3899318711481403,0.487688517107562,0.33670351638116663,0.42494473018453655,CB,Cape Breton,2014
0.2528075215460956,0.17930682976554535,0.17403846153846153,0.1880907372400756,0.31729496855977996,0.44609869910798594,0.37722630311310595,0.3966442364339452,CB,Cape Breton,2015
0.23739879864194308,0.15479102956167176,0.14903846153846154,0.16459627329192547,0.38153943734792173,0.41861347641561986,0.3707926123164479,0.3972288084028076,CB,Cape Breton,2016
