CO_CODE,CO_DESC,CO_POP_2011,CO_POP_2016,GSA_COUNT
LU,Lunenburg,47313,47126,181
CU,Cumberland,31353,30005,173
PI,Pictou,45643,43748,159
KI,Kings,60589,60600,158
IN,Inverness,17947,17235,157
CO,Colchester,50968,50585,136
AP,Annapolis,20756,20591,136
GU,Guysborough,8143,7625,125
HN,Hants,42304,42558,114
CB,Cape Breton,101619,98722,111
VI,Victoria,7115,7089,109
AT,Antigonish,19589,19301,107
YA,Yarmouth,25275,24419,104
DI,Digby,18036,17323,103
SH,Shelburne,14496,13966,99
RI,Richmond,9293,8964,84
QU,Queens,10960,10351,54
HX,Halifax,390328,403390,201
